Year,Number of Feature Film Studios (unit),Feature Films (film),Cartoons (reel),Popular Science Films (reel),Documentary Films (reel),Special Films (reel)
2011-12-31,31.0,558.0,24.0,76.0,26.0,5.0
2010-12-31,31.0,526.0,16.0,54.0,16.0,9.0
2009-12-31,31.0,456.0,27.0,52.0,19.0,4.0
2008-12-31,33.0,406.0,16.0,39.0,16.0,2.0
2007-12-31,32.0,402.0,6.0,34.0,9.0,
2006-12-31,32.0,330.0,13.0,36.0,13.0,
2005-12-31,32.0,260.0,7.0,33.0,2.0,
2004-12-31,31.0,212.0,4.0,30.0,10.0,
2003-12-31,31.0,140.0,2.0,53.0,6.0,
2002-12-31,31.0,100.0,2.0,60.0,7.0,
2001-12-31,27.0,88.0,1.0,56.0,9.0,
2000-12-31,31.0,91.0,1.0,49.0,10.0,
1998-12-31,31.0,82.0,9.0,30.0,54.0,
1997-12-31,31.0,88.0,28.0,34.0,95.0,
1996-12-31,30.0,110.0,58.0,33.0,39.0,
1995-12-31,30.0,146.0,37.0,40.0,111.0,
1994-12-31,22.0,148.0,32.0,182.0,22.0,
1993-12-31,22.0,154.0,47.0,252.0,300.0,
1992-12-31,22.0,170.0,56.0,354.0,307.0,
1991-12-31,22.0,130.0,46.0,351.0,283.0,
1990-12-31,22.0,134.0,51.0,326.0,296.0,
1989-12-31,22.0,136.0,53.0,334.0,259.0,
1988-12-31,22.0,158.0,38.0,344.0,350.0,
1987-12-31,22.0,146.0,45.0,353.0,347.0,
1986-12-31,20.0,134.0,46.0,383.0,417.0,
1985-12-31,20.0,127.0,45.0,357.0,419.0,
1984-12-31,20.0,144.0,37.0,387.0,337.0,
1983-12-31,19.0,127.0,37.0,343.0,299.0,
1982-12-31,19.0,112.0,33.0,284.0,259.0,
1981-12-31,19.0,105.0,33.0,277.0,276.0,
1980-12-31,17.0,82.0,32.0,337.0,242.0,
1979-12-31,17.0,65.0,25.0,349.0,317.0,
1978-12-31,12.0,46.0,26.0,289.0,202.0,
